,PF_EC19,PF_EC22,PF_EC12,PF_EC07,PF_EC02,PF_EC03,PF_EC10,PF_EC21,PF_EC16,PF_EC25,PF_KPN10,PF_KPN14,PF_KPN01,PF_KPN16,PF_KQ01,PF_KPN09,PF_KPN12,PF_KPN02,PF_KPN11,PF_KQ04
RM_Type_I,1,2,2,0,0,1,1,2,1,1,1,1,1,0,0,2,1,0,1,1
RM_Type_II,0,4,1,1,1,2,0,1,0,1,1,0,1,0,1,0,1,0,1,0
RM_Type_IIG,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
RM_Type_IV,1,1,2,0,0,1,2,0,1,2,0,1,1,1,1,1,0,1,0,2
